url,path,http_status,schema_types,schema_block_count,jsonld_parse_ok,author_type,person_author,aggregate_rating,schema_url_hosts_ok,ymyl_risk,issues,severity,notes
https://www.expatcopilot.com/,/,200,BreadcrumbList|ContactPoint|ListItem|Organization|WebSite,3,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/about/,/about/,200,AboutPage|BreadcrumbList|ContactPoint|ListItem|Organization|WebSite,4,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/affiliate-disclosure/,/affiliate-disclosure/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/contact/,/contact/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/disclaimer/,/disclaimer/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/editorial-policy/,/editorial-policy/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/how-we-rank-services/,/how-we-rank-services/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/methodology/,/methodology/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/netherlands/,/netherlands/,200,BreadcrumbList|ContactPoint|ListItem|Organization|WebSite,3,yes,n/a,no,no,yes,LOW,no_aggregate_rating_ok|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
https://www.expatcopilot.com/netherlands/cities/amsterdam/,/netherlands/cities/amsterdam/,200,ContactPoint|Organization|WebSite,2,yes,n/a,no,no,yes,MEDIUM,no_aggregate_rating_ok|content_page_limited_to_org_website_schema|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,P3,
https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,/netherlands/citizenship/permanent-residence/,200,Answer|Article|BreadcrumbList|ContactPoint|FAQPage|ListItem|Organization|Question|WebPage|WebSite,5,yes,Organization,no,no,yes,HIGH,no_aggregate_rating_ok|article_author_is_organization|faq_schema_present|sitewide_org_website_present|schema_urls_use_trailing_slash_canonical_form,INFO,
