url,status,canonical,canonical_status,canonical_final_url,self_canonical,redirect_hops,consistent_with_sitemap,consistent_with_internal_links,intentional,severity,finding
https://www.expatcopilot.com/disclaimer,200,https://www.expatcopilot.com/disclaimer/,308,https://www.expatcopilot.com/disclaimer,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash; og:url path differs from canonical
https://www.expatcopilot.com/contact,200,https://www.expatcopilot.com/contact/,308,https://www.expatcopilot.com/contact,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash; og:url path differs from canonical
https://www.expatcopilot.com/cookies,200,https://www.expatcopilot.com/cookies/,308,https://www.expatcopilot.com/cookies,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash; og:url path differs from canonical
https://www.expatcopilot.com/about,200,https://www.expatcopilot.com/about/,308,https://www.expatcopilot.com/about,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash
https://www.expatcopilot.com/affiliate-disclosure,200,https://www.expatcopilot.com/affiliate-disclosure/,308,https://www.expatcopilot.com/affiliate-disclosure,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash; og:url path differs from canonical
https://www.expatcopilot.com/editorial-policy/,308,https://www.expatcopilot.com/editorial-policy/,308,https://www.expatcopilot.com/editorial-policy,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content); og:url path differs from canonical
https://www.expatcopilot.com/,307,https://www.expatcopilot.com/netherlands/,308,https://www.expatcopilot.com/netherlands,no,1,no,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/cookies/,308,https://www.expatcopilot.com/cookies/,308,https://www.expatcopilot.com/cookies,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content); og:url path differs from canonical
https://www.expatcopilot.com/about/,308,https://www.expatcopilot.com/about/,308,https://www.expatcopilot.com/about,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content)
https://www.expatcopilot.com/contact/,308,https://www.expatcopilot.com/contact/,308,https://www.expatcopilot.com/contact,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content); og:url path differs from canonical
https://www.expatcopilot.com/affiliate-disclosure/,308,https://www.expatcopilot.com/affiliate-disclosure/,308,https://www.expatcopilot.com/affiliate-disclosure,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content); og:url path differs from canonical
https://www.expatcopilot.com/disclaimer/,308,https://www.expatcopilot.com/disclaimer/,308,https://www.expatcopilot.com/disclaimer,no,1,yes,yes,no,P1,SITEMAP_URL_REDIRECTS (sitemap loc returns 3xx before content); og:url path differs from canonical
https://www.expatcopilot.com/editorial-policy,200,https://www.expatcopilot.com/editorial-policy/,308,https://www.expatcopilot.com/editorial-policy,no,0,yes,yes,no,P2,CANONICAL_POINTS_TO_TRAILING_SLASH_URL_THAT_308S_TO_NON_SLASH; 200 response URL is non-slash while canonical/sitemap use trailing slash; og:url path differs from canonical
