source_url,source_context,status,destination,final_destination,hops,internally_linked,in_sitemap,canonical_target,expected,severity,finding
https://www.expatcopilot.com/editorial-policy/,sitemap,308,https://www.expatcopilot.com/editorial-policy,https://www.expatcopilot.com/editorial-policy,1,yes,yes,https://www.expatcopilot.com/editorial-policy/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/,sitemap,307,https://www.expatcopilot.com/netherlands,https://www.expatcopilot.com/netherlands,1,yes,yes,https://www.expatcopilot.com/netherlands/,yes,P1,SITEMAP_LOC_IS_3XX; homepage_redirect_to_nl_hub
https://www.expatcopilot.com/cookies/,sitemap,308,https://www.expatcopilot.com/cookies,https://www.expatcopilot.com/cookies,1,yes,yes,https://www.expatcopilot.com/cookies/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/about/,sitemap,308,https://www.expatcopilot.com/about,https://www.expatcopilot.com/about,1,yes,yes,https://www.expatcopilot.com/about/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/contact/,sitemap,308,https://www.expatcopilot.com/contact,https://www.expatcopilot.com/contact,1,yes,yes,https://www.expatcopilot.com/contact/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/affiliate-disclosure/,sitemap,308,https://www.expatcopilot.com/affiliate-disclosure,https://www.expatcopilot.com/affiliate-disclosure,1,yes,yes,https://www.expatcopilot.com/affiliate-disclosure/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/disclaimer/,sitemap,308,https://www.expatcopilot.com/disclaimer,https://www.expatcopilot.com/disclaimer,1,yes,yes,https://www.expatcopilot.com/disclaimer/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/how-we-rank-services/,sitemap,308,https://www.expatcopilot.com/how-we-rank-services,https://www.expatcopilot.com/how-we-rank-services,1,yes,yes,https://www.expatcopilot.com/how-we-rank-services/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/how-this-site-works/,sitemap,308,https://www.expatcopilot.com/how-this-site-works,https://www.expatcopilot.com/how-this-site-works,1,yes,yes,https://www.expatcopilot.com/how-this-site-works/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/methodology/,sitemap,308,https://www.expatcopilot.com/methodology,https://www.expatcopilot.com/methodology,1,yes,yes,https://www.expatcopilot.com/methodology/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/,sitemap,308,https://www.expatcopilot.com/netherlands,https://www.expatcopilot.com/netherlands,1,yes,yes,https://www.expatcopilot.com/netherlands/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/amsterdam/,sitemap,308,https://www.expatcopilot.com/netherlands/amsterdam,https://www.expatcopilot.com/netherlands/amsterdam,1,yes,yes,https://www.expatcopilot.com/netherlands/amsterdam/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/amstelveen/,sitemap,308,https://www.expatcopilot.com/netherlands/amstelveen,https://www.expatcopilot.com/netherlands/amstelveen,1,yes,yes,https://www.expatcopilot.com/netherlands/amstelveen/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,sitemap,308,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands,1,yes,yes,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,sitemap,308,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands,1,yes,yes,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
https://www.expatcopilot.com/netherlands/arnhem/,sitemap,308,https://www.expatcopilot.com/netherlands/arnhem,https://www.expatcopilot.com/netherlands/arnhem,1,yes,yes,https://www.expatcopilot.com/netherlands/arnhem/,yes,P1,SITEMAP_LOC_IS_3XX; trailing_slash_normalization
