url,page_type,cluster,parent_hub,href_inlinks,unique_inlink_pages,contextual_inlinks,navigation_inlinks,outlinks,crawl_depth_home,crawl_depth_hub,orphan,near_orphan,links_to_redirects,links_to_404,intent,severity,notes
https://www.expatcopilot.com/netherlands/bsn-registration/,moving_guide,first_90_days,https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,46,46,46,0,64,1,2,no,no,13,2,INDEXABLE,INFO,outlinks_to_redirects=13; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=60; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/practical-life/digid-netherlands/
https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands/,guide,netherlands_other,,7,7,0,7,72,2,,no,no,5,13,INDEXABLE,INFO,outlinks_to_redirects=5; outlinks_to_404=13; descriptive_anchor_ratio=1.00 n=13; hub_relationship=weak_or_missing_hub_link
https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,guide,netherlands_other,,10,10,0,10,65,2,,no,no,8,12,INDEXABLE,INFO,outlinks_to_redirects=8; outlinks_to_404=12; descriptive_anchor_ratio=1.00 n=29; hub_relationship=weak_or_missing_hub_link
https://www.expatcopilot.com/netherlands/cities/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,444,444,0,444,88,1,0,no,no,1,5,INDEXABLE,INFO,receives sitewide/explore-block or chrome links on most pages; outlinks_to_redirects=1; outlinks_to_404=5; descriptive_anchor_ratio=1.00 n=1120; hub_relationship=is_hub
https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,5,5,0,5,59,2,1,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=6; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/cities/best-cities-for-expats/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,432,432,0,432,84,1,1,no,no,1,3,INDEXABLE,INFO,receives sitewide/explore-block or chrome links on most pages; outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=473; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/cities/best-cities-for-families/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,432,432,0,432,79,1,1,no,no,1,3,INDEXABLE,INFO,receives sitewide/explore-block or chrome links on most pages; outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=478; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/cities/best-cities-for-international-professionals/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,22,22,0,22,74,2,1,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=35; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/cities/cheapest-cities-for-expats/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,432,432,0,432,81,1,1,no,no,1,3,INDEXABLE,INFO,receives sitewide/explore-block or chrome links on most pages; outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=483; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/cities/compare/,city_page,cities,https://www.expatcopilot.com/netherlands/cities/,5,5,0,5,51,2,1,no,no,1,3,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=3; descriptive_anchor_ratio=1.00 n=5; hub_relationship=links_to_parent_hub
https://www.expatcopilot.com/netherlands/citizenship/dutch-citizenship/,moving_guide,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,16,16,16,0,54,2,1,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=29; hub_relationship=links_to_parent_hub; strongest_contextual_source=/netherlands/citizenship/tools/permanent-residence-eligibility-calculator/
https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,moving_guide,citizenship_pr,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,19,19,19,0,54,2,0,no,no,1,2,INDEXABLE,INFO,outlinks_to_redirects=1; outlinks_to_404=2; descriptive_anchor_ratio=1.00 n=37; hub_relationship=is_hub; strongest_contextual_source=/netherlands/integration/tools/integration-requirement-checker/
