country,url,status,h1,parent_country_link,related_tools_count,related_tools,has_next_steps
south-africa,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/south-africa,200,Moving Checklist for the Netherlands — from South Africa,YES,3,/netherlands/moving/tools/arrival-planner/from/south-africa|/netherlands/moving/tools/document-readiness/from/south-africa|/netherlands/moving/tools/first-90-days/from/south-africa,YES
india,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/india,200,Moving Checklist for the Netherlands — from India,YES,3,/netherlands/moving/tools/arrival-planner/from/india|/netherlands/moving/tools/document-readiness/from/india|/netherlands/moving/tools/first-90-days/from/india,YES
united-states,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/united-states,200,Moving Checklist for the Netherlands — from United States,YES,3,/netherlands/moving/tools/arrival-planner/from/united-states|/netherlands/moving/tools/document-readiness/from/united-states|/netherlands/moving/tools/first-90-days/from/united-states,YES
united-kingdom,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/united-kingdom,200,Moving Checklist for the Netherlands — from United Kingdom,YES,3,/netherlands/moving/tools/arrival-planner/from/united-kingdom|/netherlands/moving/tools/document-readiness/from/united-kingdom|/netherlands/moving/tools/first-90-days/from/united-kingdom,YES
brazil,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/brazil,200,Moving Checklist for the Netherlands — from Brazil,YES,3,/netherlands/moving/tools/arrival-planner/from/brazil|/netherlands/moving/tools/document-readiness/from/brazil|/netherlands/moving/tools/first-90-days/from/brazil,YES
indonesia,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/indonesia,200,Moving Checklist for the Netherlands — from Indonesia,YES,3,/netherlands/moving/tools/arrival-planner/from/indonesia|/netherlands/moving/tools/document-readiness/from/indonesia|/netherlands/moving/tools/first-90-days/from/indonesia,YES
australia,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/australia,200,Moving Checklist for the Netherlands — from Australia,YES,3,/netherlands/moving/tools/arrival-planner/from/australia|/netherlands/moving/tools/document-readiness/from/australia|/netherlands/moving/tools/first-90-days/from/australia,YES
turkey,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/turkey,200,Moving Checklist for the Netherlands — from Türkiye,YES,3,/netherlands/moving/tools/arrival-planner/from/turkey|/netherlands/moving/tools/document-readiness/from/turkey|/netherlands/moving/tools/first-90-days/from/turkey,YES
