url,path,orphan_status,unique_linking_pages,cluster,is_country_tool,parent_hub,crawl_depth
https://www.expatcopilot.com/netherlands/culture/communication-style,/netherlands/culture/communication-style,ORPHAN,0,culture,NO,/netherlands/culture,
https://www.expatcopilot.com/netherlands/culture/dutch-language-basics,/netherlands/culture/dutch-language-basics,NEAR_ORPHAN,2,culture,NO,/netherlands/culture,3
https://www.expatcopilot.com/netherlands/culture/dutch-social-calendar,/netherlands/culture/dutch-social-calendar,NEAR_ORPHAN,2,culture,NO,/netherlands/culture,4
https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness,/netherlands/culture/hierarchy-and-flatness,NEAR_ORPHAN,1,culture,NO,/netherlands/culture,4
https://www.expatcopilot.com/netherlands/culture/invitations-and-planning,/netherlands/culture/invitations-and-planning,NEAR_ORPHAN,2,culture,NO,/netherlands/culture,3
https://www.expatcopilot.com/netherlands/culture/kings-day,/netherlands/culture/kings-day,NEAR_ORPHAN,2,culture,NO,/netherlands/culture,3
https://www.expatcopilot.com/netherlands/culture/sinterklaas,/netherlands/culture/sinterklaas,ORPHAN,0,culture,NO,/netherlands/culture,
https://www.expatcopilot.com/netherlands/culture/time-and-boundaries,/netherlands/culture/time-and-boundaries,NEAR_ORPHAN,1,culture,NO,/netherlands/culture,4
https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life,/netherlands/culture/what-feels-normal-in-dutch-daily-life,ORPHAN,0,culture,NO,/netherlands/culture,
https://www.expatcopilot.com/netherlands/culture/written-follow-ups,/netherlands/culture/written-follow-ups,NEAR_ORPHAN,2,culture,NO,/netherlands/culture,3
https://www.expatcopilot.com/netherlands/family/pets-netherlands,/netherlands/family/pets-netherlands,NEAR_ORPHAN,2,other,NO,/netherlands/family,3
https://www.expatcopilot.com/netherlands/living/government-portals-overview,/netherlands/living/government-portals-overview,ORPHAN,0,living,NO,/netherlands/living,
https://www.expatcopilot.com/netherlands/money/financial-checklist-netherlands,/netherlands/money/financial-checklist-netherlands,NEAR_ORPHAN,2,other,NO,/netherlands/money,2
https://www.expatcopilot.com/netherlands/moving-mistakes-netherlands,/netherlands/moving-mistakes-netherlands,NEAR_ORPHAN,2,other,NO,/netherlands/moving-mistakes-netherlands,2
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/nigeria,/netherlands/moving/moving-to-netherlands-from/nigeria,NEAR_ORPHAN,2,origin_guide,NO,/netherlands/moving,2
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/philippines,/netherlands/moving/moving-to-netherlands-from/philippines,NEAR_ORPHAN,2,origin_guide,NO,/netherlands/moving,2
https://www.expatcopilot.com/netherlands/practical-life/privacy-and-safety-basics-netherlands,/netherlands/practical-life/privacy-and-safety-basics-netherlands,NEAR_ORPHAN,1,other,NO,/netherlands/practical-life,2
https://www.expatcopilot.com/netherlands/tools/advanced,/netherlands/tools/advanced,NEAR_ORPHAN,1,other,NO,/netherlands/tools,2
