country,slug,path,status,robots,h1,parent_country_link,related_tools_count,related_tools,has_next_steps
south-africa,south-africa,/netherlands/moving/tools/moving-checklist/from/south-africa,200,,Moving Checklist for the Netherlands — from South Africa,True,3,/netherlands/moving/tools/arrival-planner/from/south-africa|/netherlands/moving/tools/document-readiness/from/south-africa|/netherlands/moving/tools/first-90-days/from/south-africa,True
india,india,/netherlands/moving/tools/moving-checklist/from/india,200,,Moving Checklist for the Netherlands — from India,True,3,/netherlands/moving/tools/arrival-planner/from/india|/netherlands/moving/tools/document-readiness/from/india|/netherlands/moving/tools/first-90-days/from/india,True
united-states,united-states,/netherlands/moving/tools/moving-checklist/from/united-states,200,,Moving Checklist for the Netherlands — from United States,True,3,/netherlands/moving/tools/arrival-planner/from/united-states|/netherlands/moving/tools/document-readiness/from/united-states|/netherlands/moving/tools/first-90-days/from/united-states,True
united-kingdom,united-kingdom,/netherlands/moving/tools/moving-checklist/from/united-kingdom,200,,Moving Checklist for the Netherlands — from United Kingdom,True,3,/netherlands/moving/tools/arrival-planner/from/united-kingdom|/netherlands/moving/tools/document-readiness/from/united-kingdom|/netherlands/moving/tools/first-90-days/from/united-kingdom,True
brazil,brazil,/netherlands/moving/tools/moving-checklist/from/brazil,200,,Moving Checklist for the Netherlands — from Brazil,True,3,/netherlands/moving/tools/arrival-planner/from/brazil|/netherlands/moving/tools/document-readiness/from/brazil|/netherlands/moving/tools/first-90-days/from/brazil,True
turkey,turkey,/netherlands/moving/tools/moving-checklist/from/turkey,200,,Moving Checklist for the Netherlands — from Türkiye,True,3,/netherlands/moving/tools/arrival-planner/from/turkey|/netherlands/moving/tools/document-readiness/from/turkey|/netherlands/moving/tools/first-90-days/from/turkey,True
indonesia,indonesia,/netherlands/moving/tools/moving-checklist/from/indonesia,200,,Moving Checklist for the Netherlands — from Indonesia,True,3,/netherlands/moving/tools/arrival-planner/from/indonesia|/netherlands/moving/tools/document-readiness/from/indonesia|/netherlands/moving/tools/first-90-days/from/indonesia,True
australia,australia,/netherlands/moving/tools/moving-checklist/from/australia,200,,Moving Checklist for the Netherlands — from Australia,True,3,/netherlands/moving/tools/arrival-planner/from/australia|/netherlands/moving/tools/document-readiness/from/australia|/netherlands/moving/tools/first-90-days/from/australia,True
